Total protein number combining all batches: 1248
  In any 2 batche(s): 606
  In any 1 batche(s): 642
Batch-specific protein numbers:
  batch1: 311
  batch2: 331

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
SJPG0110980.001	sp|P78363|ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4 OS=Homo sapiens OX=9606 GN=ABCA4 PE=1 SV=3	ABCA4	-	-	-	-	-	batch1	1	1	1	0.62	1037867.8109072	1004868.72048654	1057506.26666732	1014196.42631669	1212036.97530512	1140523.55141257	924308.779126617	914639.688480355	946073.761040825	1183255.29513552	batch2	2	1	1	0.62	191972.064119944	184893.213627222	217301.699682073	199551.980604718	200731.918029963	205010.591438183	215093.226393844	185006.66977839	205984.308937158	205318.041164559
SJPG0102292.001	sp|Q9UHG3|PCYOX_HUMAN	Prenylcysteine oxidase 1 OS=Homo sapiens OX=9606 GN=PCYOX1 PE=1 SV=3	PCYOX1	-	-	-	-	-	batch1	1	1	0	1.39	956779.766619363	713814.556031376	957584.887531869	476126.261214951	1355696.59074885	1126596.46019669	517744.530188306	483183.643094995	751332.096971208	1034176.1133605	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102698.001	sp|Q9C0C9|UBE2O_HUMAN	(E3-independent) E2 ubiquitin-conjugating enzyme OS=Homo sapiens OX=9606 GN=UBE2O PE=1 SV=3	UBE2O	-	-	-	-	-	batch1	2	2	2	1.86	79602.6318653096	73412.8558729246	61695.1311491972	72780.8275937059	88371.1842869885	87695.0011797093	79223.186027622	72094.294402324	70009.1216664336	92830.7225561606	batch2	5	4	4	2.71	128419.677064272	94004.0845083412	153516.321162672	109259.677148104	137360.707052878	121291.106988712	99519.7474681618	125987.180039132	124208.376398292	113350.898758307
SJPG0104599.001	sp|Q9H9J2|RM44_HUMAN	39S ribosomal protein L44, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL44 PE=1 SV=1	MRPL44	-	-	-	-	-	batch1	1	1	1	3.01	423241.813555684	549128.031898636	438257.075894033	488781.961050667	452154.900460735	464827.472942974	521817.328683354	518071.940702448	471787.552063929	514427.909248944	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100174.005	tr|A0A1B0GTW6|A0A1B0GTW6_HUMAN	Band 4.1-like protein 1 OS=Homo sapiens OX=9606 GN=EPB41L1 PE=1 SV=2	EPB41L1	-	-	-	-	-	batch1	1	1	0	0.63	334293.031408669	390081.84035055	299234.380212241	406996.709453614	230920.808288514	253708.088676583	245142.103198454	351119.852197399	339973.325454589	248641.12995727	batch2	1	1	0	1.13	55487.7262177333	65441.2497760773	58888.1591437569	57998.1430077337	62081.8801289291	66516.6645689691	52636.4697236429	58048.4148000618	48856.6942079402	51921.5828997285
SJPG0112991.001	sp|P25025|CXCR2_HUMAN	C-X-C chemokine receptor type 2 OS=Homo sapiens OX=9606 GN=CXCR2 PE=1 SV=2	CXCR2	O	-	-	-	-	batch1	1	1	1	2.78	465938.661845518	265282.380003943	314050.495927673	230293.510340302	409303.878174876	381300.929050024	284646.420029056	258885.373851142	306147.461046523	371825.830949754	batch2	3	1	1	2.78	256438.33741726	191664.494817091	206478.683429403	202563.354007853	212102.36438194	189447.819466724	165645.518753957	184205.313048586	189674.797460206	183220.25115695
SJPG0117768.001	sp|A6NFF2|NP1L6_HUMAN	Putative nucleosome assembly protein 1-like 6 OS=Homo sapiens OX=9606 GN=NAP1L6P PE=5 SV=1	NAP1L6P	-	-	-	-	-	batch1	1	1	1	7.48	260630.589423837	307432.390753404	225655.582213881	292635.606582568	270026.005087626	238674.126299587	246152.831240534	247655.735294573	225232.45103161	207967.203362552	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0121149.001	sp|Q96A57|TM230_HUMAN	Transmembrane protein 230 OS=Homo sapiens OX=9606 GN=TMEM230 PE=1 SV=1	TMEM230	-	-	-	-	-	batch1	1	1	0	11.67	148383.975840169	65375.3087241901	45603.2318176743	63163.483497952	153759.666341431	60436.2133366383	49787.4055344763	52849.1025310419	66275.0959204964	76655.4746533722	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0101642.001	sp|Q2M2I8|AAK1_HUMAN	AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3	AAK1	-	-	-	O	-	batch1	3	2	0	2.50	178769.205020176	158231.925451036	162021.055324653	149407.670008129	185884.373031398	150507.879198427	132259.981496144	135666.193105959	165659.900635382	151948.978546404	batch2	3	2	0	2.50	122277.244111733	102464.391231493	109038.68501441	128040.711033184	125449.020655532	117199.197945149	126955.162915946	121428.019907163	105886.243745937	108485.568599847
SJPG0107616.001	sp|Q9Y5J1|UTP18_HUMAN	U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=UTP18 PE=1 SV=3	UTP18	-	-	-	-	-	batch1	1	1	1	3.06	110372.173129958	154103.456953141	128142.729873235	161461.653822116	81472.716480108	115516.89468137	130528.197603617	177869.744642353	115050.097435859	109982.978886667	batch2	1	1	1	3.06	111608.533847402	115947.523752508	115296.419846195	104511.64549912	116798.264071783	104849.127958054	120178.588204311	91824.3282692329	123573.236305827	154368.504793594
SJPG0104799.001	sp|O60256|KPRB_HUMAN	Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1	PRPSAP2	-	-	-	-	-	batch1	3	3	0	7.59	171225.404826587	150818.057087797	121115.119426722	164324.195789452	128044.03760667	134031.713671038	170217.230624225	137125.796520855	159394.02644345	124912.243596927	batch2	1	1	0	7.59	94148.9925029764	134310.633934376	94742.0532646402	92435.5352192642	92629.7670073866	81018.5543070526	82838.6832156437	80654.8868228922	121240.205647183	119264.878188248
SJPG0101151.001	tr|R4GMX3|R4GMX3_HUMAN	COMMD3-BMI1 readthrough OS=Homo sapiens OX=9606 GN=COMMD3-BMI1 PE=4 SV=1	COMMD3-BMI1	-	-	-	-	-	batch1	1	1	0	2.77	255136.652111182	170432.580006394	125388.492046468	119998.997829028	249587.194012083	200093.835234835	150058.263253639	131366.428270857	158846.343326443	179919.830646754	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0140146.001	cu|FMN1_Q1200K|snp	FMN1|uc031qrh.1|Q1200K|chr15:33192236-33192236.G_T	NA	-	-	-	-	-	batch1	4	2	2	18.03	2324191.61510607	2570076.76052662	3172980.13900513	1974618.84072201	2598160.2050865	1590044.39882047	2980816.78750867	1968273.12892968	2948800.75703666	1639407.73584488	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0115587.001	tr|Q16234|Q16234_HUMAN	HuD protein OS=Homo sapiens OX=9606 GN=HuD PE=2 SV=1	HuD	-	-	-	-	-	batch1	1	1	1	81.82	223275.409075239	168418.273132637	181743.886499008	153103.321013786	230305.35796595	159964.256564311	179881.278129139	150617.223948966	158711.374591274	152040.014948204	batch2	1	1	1	81.82	103852036.903622	87927538.9787029	109485620.857678	116658196.323092	115547776.33012	113132330.874156	95386941.414492	116326391.5149	82852046.1430092	73062189.3568372
SJPG0104739.001	sp|O95476|CNEP1_HUMAN	CTD nuclear envelope phosphatase 1 OS=Homo sapiens OX=9606 GN=CTDNEP1 PE=1 SV=2	CTDNEP1	-	-	-	-	-	batch1	1	1	0	4.10	247461.871537419	673836.216829548	871628.235758232	650970.169344646	311573.655020372	399722.842685452	794246.041399272	581304.070178984	876072.419357925	398922.335570809	batch2	1	1	0	4.10	287926.344128566	555288.853347075	394749.182192345	319085.10098768	278192.447737964	277925.451569103	421964.167727192	300391.934211964	454295.632223964	366335.111353839
SJPG0126718.001	tr|Q9H376|Q9H376_HUMAN	PRO0720 OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	3	2	2	18.39	371592.424288068	111150.651258914	275030.286133397	288197.957843268	315035.324654778	299433.527935446	164314.428111596	207457.150345765	169863.069394488	175861.944478481
SJPG0119846.001	sp|Q6IQ49|SDE2_HUMAN	Replication stress response regulator SDE2 OS=Homo sapiens OX=9606 GN=SDE2 PE=1 SV=1	SDE2	-	-	-	-	-	batch1	1	1	0	4.66	100628.213500803	125763.641122541	102743.440271022	131923.631604927	85978.5219008689	129963.285687374	110230.014033316	113294.383599908	106930.850718672	119057.153206438	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106597.001	sp|O94864|ST65G_HUMAN	STAGA complex 65 subunit gamma OS=Homo sapiens OX=9606 GN=SUPT7L PE=1 SV=1	SUPT7L	-	-	O	-	-	batch1	1	1	0	6.28	116638.641687097	89315.6299952674	89408.8162273552	101589.721547673	119196.343058492	107790.253335829	88359.0330273871	91852.4622815193	99207.3419736158	88292.6690669141	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0103777.001	sp|Q9NRA8|4ET_HUMAN	Eukaryotic translation initiation factor 4E transporter OS=Homo sapiens OX=9606 GN=EIF4ENIF1 PE=1 SV=2	EIF4ENIF1	-	-	-	-	-	batch1	4	2	0	2.23	186477.123657472	208314.76522225	166020.837869663	189164.986055201	168054.727707701	151846.619755929	189267.156469804	202549.731481153	190638.822834451	151004.744234795	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0110007.003	sp|P15822-3|ZEP1_HUMAN	Isoform 3 of Zinc finger protein 40 OS=Homo sapiens OX=9606 GN=HIVEP1	HIVEP1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	2	2	2	0.98	571643.707588981	493957.284600703	396792.566082474	431432.48692312	445492.081815606	444500.311172789	412052.227096816	392674.397975135	517652.268717574	546595.880061347
SJPG0109078.001	sp|Q96EU6|RRP36_HUMAN	Ribosomal RNA processing protein 36 homolog OS=Homo sapiens OX=9606 GN=RRP36 PE=1 SV=1	RRP36	-	-	-	-	-	batch1	2	1	0	3.47	696988.118547865	456127.559681268	597531.244062386	312250.28177904	756640.41981998	512975.538403553	393115.3036134	320076.992773881	436602.166867791	546743.850914252	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102601.001	sp|Q13501|SQSTM_HUMAN	Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	SQSTM1	-	-	-	-	-	batch1	8	5	0	3.64	174359.0024715	378791.691286104	448813.056429948	387532.925621654	183093.015503448	331375.108143107	359394.660504353	448214.00126572	430514.646854315	362932.823985795	batch2	6	4	0	3.64	159156.623757852	307747.171775901	180038.880747394	178131.718864827	150396.257067704	221020.18605062	199794.545432039	196212.103871014	295908.925207847	279156.286639707
SJPG0104421.001	sp|Q9NPI6|DCP1A_HUMAN	mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=3	DCP1A	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	5.50	48272.6960624818	56771.5470764125	48408.9634740081	58033.7760693697	52847.6560267002	58437.3859884004	52744.2119440419	48905.8728028871	64906.4549939183	63112.3389453348
SJPG0100863.001	sp|P24844|MYL9_HUMAN	Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4	MYL9	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	7	4	0	10.47	568408.91582846	51130.9151701093	275872.683411619	442288.670628699	445981.878687205	388704.431234521	134788.50915256	327240.926918528	68210.8296270025	58988.0114155021
SJPG0101563.001	sp|Q9H4A3|WNK1_HUMAN	Serine/threonine-protein kinase WNK1 OS=Homo sapiens OX=9606 GN=WNK1 PE=1 SV=2	WNK1	-	-	-	O	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.05	45056.9887234357	43161.1197857795	41308.3982899412	25493.7511794324	41835.4731191285	36029.8541126643	22077.8857700553	30605.0520257229	29895.2547144521	51420.4650206612
SJPG0107100.001	sp|Q9UEE9|CFDP1_HUMAN	Craniofacial development protein 1 OS=Homo sapiens OX=9606 GN=CFDP1 PE=1 SV=1	CFDP1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	7.02	29227.7947047152	21071.1949362909	21974.8577277634	31913.5878544361	25157.528553938	20726.8168226507	25937.1806340278	25319.526201877	19980.9918207066	16202.8043539609
SJPG0109383.004	tr|B7Z6H4|B7Z6H4_HUMAN	DNA-directed RNA polymerase subunit OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	batch1	1	1	0	0.80	136014.728300141	380404.303390984	276112.007413132	402286.571877929	121968.542463448	262345.169941956	356358.26770256	384615.190261644	299924.823917794	276523.013151201	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0152566.001	cu|PLCL1_R456S|snp	PLCL1|uc002uuv.4|R456S|chr2:198949846-198949846.A_T	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	13.11	292851.370231906	450180.524734706	254557.158237327	322060.648055421	307658.131599951	323326.554549187	339745.929220074	306436.919362327	453545.977864971	431699.193554021
SJPG0110631.001	sp|Q8TD57|DYH3_HUMAN	Dynein heavy chain 3, axonemal OS=Homo sapiens OX=9606 GN=DNAH3 PE=2 SV=1	DNAH3	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.17	589934.041880914	455587.873256787	478596.321252786	462830.7713491	497144.329762063	434701.388949933	403564.520333393	414494.641729224	665759.249681653	566262.673153537
SJPG0100084.001	sp|P27824|CALX_HUMAN	Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2	CANX	-	-	-	-	-	batch1	86	11	0	5.74	5923901.37902487	6604581.06236401	6445680.52978636	6309514.39511133	5203478.4757495	7068209.0247037	6264373.01119065	6121415.27686029	6694210.03468157	6897749.74258926	batch2	58	11	0	5.74	4231167.87184841	4126588.61562502	4342483.15707474	3918610.40784157	4165745.79275167	4046461.55360175	3862198.95360379	3950703.33571068	5024900.1065156	4736879.47108166
SJPG0105085.001	sp|P53675|CLH2_HUMAN	Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2	CLTCL1	-	-	-	-	-	batch1	1	1	0	1.22	75577.6785024287	83158.2978369076	79828.394174602	80311.0952011741	86978.4077929011	80684.796407827	82705.8082185832	88979.5308513345	82330.0800781686	79102.4453322962	batch2	1	1	0	1.22	44151.8561547091	30410.4042635323	39556.2754654443	43906.1637272154	37553.7745441404	53733.9747500309	31886.3435879408	42347.1446045105	38645.3287221896	32939.0471950423
SJPG0105691.001	sp|Q6PID6|TTC33_HUMAN	Tetratricopeptide repeat protein 33 OS=Homo sapiens OX=9606 GN=TTC33 PE=1 SV=2	TTC33	-	-	-	-	-	batch1	1	1	1	4.96	199410.329312898	293894.928728986	260714.27784884	294058.545523991	181493.649537721	264562.854999936	264337.186382706	300986.876730861	272293.349610332	279272.422448472	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100082.001	sp|P04406|G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	GAPDH	-	-	-	-	-	batch1	5	2	0	6.27	276273.596715575	277949.412192082	286782.161328892	307279.96578181	271059.852218962	211497.974049394	315010.266711861	273255.190428805	310670.955121973	230471.989154568	batch2	4	3	0	17.31	128450.091796625	88732.7086392316	114131.42748231	126212.157080065	120554.664275494	145482.357189544	81926.495265016	130037.663940896	86202.2131988928	84280.2960321388
SJPG0138235.002	cu|EEF1A2_Y418S|snp	EEF1A2|uc002yfe.2|Y418S|chr20:62120282-62120282.T_G	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	2	2	2	45.90	48826.6069305405	32887.4815874756	38531.41844735	27092.7382150954	25102.5343340898	31122.1245991893	20724.7053381908	32006.1362749112	40545.6918317491	36635.9712341582
SJPG0105576.001	sp|Q9NR30|DDX21_HUMAN	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	DDX21	-	-	-	-	-	batch1	7	3	1	5.24	246652.718954389	348201.47370802	365323.89597736	411886.353279898	214383.375858543	382262.51275442	374724.527237413	430863.085419023	376261.355749954	352513.091427317	batch2	3	2	0	3.58	315752.613620337	366242.901534284	266037.699721924	244760.904422377	306999.828269512	238476.150789823	245735.755878923	251828.744865843	434135.887237488	414340.229442723
SJPG0101418.001	sp|P31321|KAP1_HUMAN	cAMP-dependent protein kinase type I-beta regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1B PE=1 SV=4	PRKAR1B	-	-	-	-	-	batch1	1	1	0	2.36	180677.15408045	417953.535324704	300741.680311636	609849.479793725	100665.707580523	96628.8978116731	712324.483818775	513167.764050856	590465.406648039	140010.077313556	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100292.001	sp|Q9UEY8|ADDG_HUMAN	Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1	ADD3	-	-	-	-	-	batch1	1	1	0	2.41	179740.630070491	134308.894348089	123525.948882621	129063.612775666	155043.041871413	141805.364900517	129438.860657492	123772.387171786	119186.069715759	152072.735309946	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100168.001	sp|Q9UNZ2|NSF1C_HUMAN	NSFL1 cofactor p47 OS=Homo sapiens OX=9606 GN=NSFL1C PE=1 SV=2	NSFL1C	-	-	-	-	-	batch1	8	1	0	3.51	405762.629692019	394084.36479099	482319.104059809	441468.538403058	425248.991467416	432663.259408033	458231.363427594	393087.236604308	442125.846188093	435053.120010198	batch2	1	1	0	3.51	111446.451676371	70402.3128034426	110108.450937408	90567.0986769126	119431.010571009	82244.4964252301	111346.041223639	71408.5239996243	126818.385463145	87769.3999886099
SJPG0102221.001	sp|Q99426|TBCB_HUMAN	Tubulin-folding cofactor B OS=Homo sapiens OX=9606 GN=TBCB PE=1 SV=2	TBCB	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	2.87	70226.2110745436	78864.8477300956	50887.7891892303	58452.4601050021	52634.2229669274	65827.3136048825	72182.0967977697	66588.3000146086	78651.6420536615	101258.174595354
SJPG0117493.001	sp|A6NHM9|MOXD2_HUMAN	Putative DBH-like monooxygenase protein 2 OS=Homo sapiens OX=9606 GN=MOXD2P PE=5 SV=1	MOXD2P	-	-	-	-	-	batch1	2	1	1	3.01	315024.892101459	159278.431349039	143407.230798792	150850.011390419	315537.678504451	172465.633810752	137013.274890598	132902.782074887	191045.159632028	181420.292949439	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0103986.001	sp|Q5TBA9|FRY_HUMAN	Protein furry homolog OS=Homo sapiens OX=9606 GN=FRY PE=1 SV=1	FRY	-	-	-	-	-	batch1	4	1	0	0.33	312457.750976018	1976261.71657467	953864.622187314	3138436.10951311	271820.355035878	466967.447999379	2905415.91648973	2793753.76382351	1941464.37243426	587964.206345746	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0106166.001	sp|Q96IZ7|RSRC1_HUMAN	Serine/Arginine-related protein 53 OS=Homo sapiens OX=9606 GN=RSRC1 PE=1 SV=1	RSRC1	-	-	-	-	-	batch1	1	1	0	2.99	33787.7537754235	25865.6858654607	24531.0253546097	23208.045691793	29885.1067741803	28004.8468123498	21158.5656932405	19463.4429545599	20193.7714997596	15438.2936674614	batch2	1	1	0	2.99	58718.0730339189	41581.5047092912	55679.9646541473	51074.0550123159	55596.3015123715	60365.4929293332	54002.8262856995	50016.118329716	32197.1303773262	40395.8716811574
SJPG0106245.001	sp|O14795|UN13B_HUMAN	Protein unc-13 homolog B OS=Homo sapiens OX=9606 GN=UNC13B PE=1 SV=2	UNC13B	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.44	167893.63476455	212088.608583067	161576.977921459	163404.663048783	145836.106775057	172254.948777149	161322.406710828	144162.059702513	178976.592899176	186400.411772829
SJPG0100330.001	sp|P62937|PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	PPIA	-	-	-	-	-	batch1	1	1	0	16.36	215779.399031928	129211.137977641	148064.03833259	136941.898713102	142363.065272998	167477.658163836	131520.482636207	128930.305683221	134594.486147604	129197.876482297	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0108676.001	sp|Q13459|MYO9B_HUMAN	Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3	MYO9B	-	-	-	-	-	batch1	3	2	0	1.07	2782142.20760729	3508309.1502264	4017008.8081533	2625476.99022686	2562395.28126199	3335029.0349682	3356564.405683	2442182.28843658	3936236.99609359	3046067.69982609	batch2	7	1	0	0.32	16109587.518075	31747445.6397594	13522347.9818346	15866608.0101529	14214273.3060922	17770704.9286555	17873828.718698	14268282.9310338	22746549.189129	23316227.2249726
SJPG0104308.006	sp|Q13428-6|TCOF_HUMAN	Isoform 6 of Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1	TCOF1	-	-	-	-	-	batch1	34	15	0	10.07	2313595.88974555	2624912.93530685	2354774.47754634	2494477.55644034	1697716.96243935	3801649.83255004	2241845.7956206	2527550.03606362	2241409.1424631	3494717.41109972	batch2	41	18	0	11.24	7426816.69127391	8084310.61541888	5535492.96870955	6240251.37887368	6637946.99920075	5752375.70980221	6803680.12992007	5970195.55071351	11521694.6438698	11722212.7745078
SJPG0101495.001	sp|Q13425|SNTB2_HUMAN	Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1	SNTB2	-	-	-	-	-	batch1	2	1	0	2.41	254213.82785292	246981.70797218	231463.127885003	208349.504269656	203038.772550526	172459.719707246	215176.735029993	213400.026626392	242381.867740899	173187.975782996	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0108912.005	tr|F8VWT6|F8VWT6_HUMAN	FYVE, RhoGEF and PH domain-containing protein 6 OS=Homo sapiens OX=9606 GN=FGD6 PE=4 SV=1	FGD6	-	-	-	-	-	batch1	3	2	2	15.25	375908.273072132	282357.130463507	307360.288043721	258164.490870361	300554.041040315	245123.508049313	281999.022359049	247651.925077672	263018.972973196	287345.542470273	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0116048.001	sp|O95251|KAT7_HUMAN	Histone acetyltransferase KAT7 OS=Homo sapiens OX=9606 GN=KAT7 PE=1 SV=1	KAT7	-	-	O	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.96	154883.174088426	180363.156138728	120743.988469327	120851.676821433	132915.671682925	101044.03964066	154186.297796715	97887.6851561843	141861.829704419	151968.42394489
SJPG0108485.002	tr|B4DEV0|B4DEV0_HUMAN	cDNA FLJ60444, weakly similar to Leucine-rich repeat-containing protein 15 OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	4.88	561551.166118842	175951.304053966	420897.146219246	328474.687921937	429240.792279026	331955.887493449	277506.122464436	290937.464744668	205212.255561622	201060.903856385
SJPG0102245.001	sp|Q6UWP2|DHR11_HUMAN	Dehydrogenase/reductase SDR family member 11 OS=Homo sapiens OX=9606 GN=DHRS11 PE=1 SV=1	DHRS11	-	-	-	-	-	batch1	6	1	0	9.62	576530.01404025	557356.560964533	674974.573365955	608430.629667281	586624.687034123	741549.777476415	612085.741064543	592045.342884323	657246.93154336	774893.169961708	batch2	2	1	0	9.62	927175.827821636	1035597.0195515	924783.994098614	890615.707525855	930858.038865787	870476.804364212	936033.283704269	769818.980100449	1125862.94690111	1145958.75808744
SJPG0106150.001	sp|Q9Y618|NCOR2_HUMAN	Nuclear receptor corepressor 2 OS=Homo sapiens OX=9606 GN=NCOR2 PE=1 SV=3	NCOR2	-	-	O	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.28	1017749.7594064	887489.202149741	1100998.79749721	874146.646170971	915565.30330555	1030678.71733522	1112025.23594147	841859.437133927	857982.620977866	793119.303254668
SJPG0106197.001	sp|Q92896|GSLG1_HUMAN	Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2	GLG1	-	-	-	-	-	batch1	1	1	0	0.93	300835.093540872	197577.010040223	199293.317529618	224949.961715482	345444.895859898	249565.622318389	230469.194822874	214540.954260801	223925.760862704	221885.582292491	batch2	1	1	0	0.93	186107.994676189	101633.371930518	184471.512405015	172014.841119428	168542.648194287	164015.551075851	156049.956057785	165094.743435718	101638.123735805	93030.6075251255
SJPG0109511.001	sp|Q8TAD8|SNIP1_HUMAN	Smad nuclear-interacting protein 1 OS=Homo sapiens OX=9606 GN=SNIP1 PE=1 SV=1	SNIP1	-	-	O	-	-	batch1	2	2	2	3.79	67537.6647940905	29177.5093807785	27921.0317641547	28377.9081177325	53560.5289327527	27405.2500975784	32104.5114950367	26092.3375237691	29449.4549670763	30346.4275836183	batch2	1	1	1	3.79	123029.463778674	63614.0304361183	94746.9177057307	99124.262137664	99121.3767940993	99976.6365559087	64410.5493358387	106938.751404856	52089.055563072	56288.4809080226
SJPG0100041.001	sp|Q5SSJ5|HP1B3_HUMAN	Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1	HP1BP3	-	-	O	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.99	390554.632870976	270016.258855332	368367.76747723	344712.853429036	344280.10040737	361185.554518629	289212.711713124	326353.796500523	224175.975682239	222500.770725686
SJPG0135705.001	cu|CLIP2_R942L|snp	CLIP2|uc003uan.3|R942L|chr7:73814749-73814749.G_T	NA	-	-	-	-	-	batch1	1	1	1	24.59	351179.098314965	372851.384770122	503234.763266726	343088.177948153	385094.637020372	381772.397231143	382753.301243598	317162.269769433	441100.771217207	381319.320300889	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
